mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_rmse,micro_max_abs_error,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us
baseline,16,0,0,20,1439.5,1439.5,1469.0,1765.5,1765.5,1840.0,0.0,0.0,0.0,641.5,0.0,8.0,409.5,346.0,12.0,8.0
baseline,32,0,0,20,1931.5,1931.5,2162.15,2296.5,2296.5,2524.1,0.0,0.0,0.0,1294.5,0.0,15.0,168.0,368.0,24.0,22.0
baseline,4,0,0,20,772.0,772.0,860.05,1080.5,1080.5,1212.55,0.0,0.0,0.0,186.5,0.0,2.0,221.5,344.5,4.0,1.5
baseline,8,0,0,20,906.0,906.0,925.1,1158.0,1158.0,1269.6000000000001,0.0,0.0,0.0,357.0,0.0,4.0,165.5,356.0,8.0,5.0
lut-exp,16,0,0,20,1202.5,1202.5,1215.0,1476.0,1476.0,1584.1,0.0,0.0,0.0,379.0,0.0,8.0,425.5,354.5,12.0,10.0
lut-exp,32,0,0,20,1486.0,1486.0,1575.05,1828.5,1828.5,1962.4,0.0,0.0,0.0,684.0,0.0,15.0,394.0,326.5,24.0,21.0
lut-exp,4,0,0,20,750.0,750.0,779.0500000000001,1017.5,1017.5,1096.6,0.0,0.0,0.0,112.0,0.0,2.0,327.5,339.0,4.0,0.0
lut-exp,8,0,0,20,811.0,811.0,896.1,1128.5,1128.5,1185.1,0.0,0.0,0.0,173.0,0.0,4.0,324.0,288.5,8.0,5.0
scna-fp16,16,16,1,20,1691.0,1691.0,1728.6,2029.5,2029.5,2053.35,1.0,0.000378106,0.00301601,1019.5,842.0,8.0,321.5,300.0,12.0,12.0
scna-fp16,16,32,1,20,2310.5,2310.5,2319.4,2639.5,2639.5,2689.1,2.0,8.59679e-05,0.000488281,1599.5,1419.0,8.0,354.0,310.5,12.0,13.0
scna-fp16,16,8,1,20,1516.5,1516.5,1592.2,1861.0,1861.0,1961.2,0.0,0.00231996,0.0185189,794.0,608.5,8.0,349.5,326.0,12.0,10.0
scna-fp16,32,16,1,20,2836.5,2836.5,2844.3,3159.0,3159.0,3227.0,1.0,0.000378106,0.00301601,2043.0,1677.0,16.0,377.0,329.5,24.0,23.0
scna-fp16,32,32,1,20,3996.5,3996.5,4013.1,4296.5,4296.5,4361.0,2.0,8.59679e-05,0.000488281,3193.0,2822.5,15.0,377.0,340.0,24.0,26.0
scna-fp16,32,8,1,20,2379.5,2379.5,2424.3,2709.5,2709.5,2792.4,0.0,0.00231996,0.0185189,1593.0,1208.0,16.0,380.5,335.5,24.0,22.0
scna-fp16,4,16,1,20,995.5,995.5,1074.45,1300.5,1300.5,1366.3500000000001,1.0,0.000378106,0.00301601,290.0,226.0,3.0,377.0,345.5,4.0,3.0
scna-fp16,4,32,1,20,968.5,968.5,1072.3,1300.0,1300.0,1386.75,2.0,8.59679e-05,0.000488281,427.0,369.0,2.0,202.5,325.0,4.0,3.5
scna-fp16,4,8,1,20,827.5,827.5,840.4,1105.5,1105.5,1147.3,0.0,0.00231996,0.0185189,203.0,158.0,2.0,323.0,287.5,4.0,3.0
scna-fp16,8,16,1,20,1050.5,1050.5,1055.05,1318.5,1318.5,1357.9,1.0,0.000378106,0.00301601,511.0,425.0,4.0,267.0,244.0,8.0,7.0
scna-fp16,8,32,1,20,1488.5,1488.5,1531.25,1800.5,1800.5,1878.7,2.0,8.59679e-05,0.000488281,807.0,715.0,4.0,347.0,312.0,8.0,8.0
scna-fp16,8,8,1,20,1082.5,1082.5,1212.25,1386.0,1386.0,1493.95,0.0,0.00231996,0.0185189,423.0,315.0,4.0,282.5,351.0,8.0,5.0
scna-int8,16,16,2,20,1721.5,1721.5,1748.1,2009.0,2009.0,2038.6,1.0,0.0126392,0.0128937,1023.5,844.0,8.0,341.0,310.0,12.0,11.0
scna-int8,16,32,2,20,2344.5,2344.5,2358.05,2660.0,2660.0,2719.55,2.0,0.0185084,0.0187988,1603.0,1421.0,8.0,368.0,327.5,12.0,13.0
scna-int8,16,8,2,20,1436.5,1436.5,1445.35,1737.0,1737.0,1774.25,0.0,0.0052965,0.0161996,780.5,605.0,8.0,316.0,294.0,12.0,11.0
scna-int8,32,16,2,20,2824.0,2824.0,2867.05,3121.0,3121.0,3168.05,1.0,0.0126392,0.0128937,2038.5,1675.0,15.0,362.5,334.0,24.0,23.0
scna-int8,32,32,2,20,3967.5,3967.5,3989.5,4307.0,4307.0,4354.95,2.0,0.0185084,0.0187988,3188.5,2819.0,16.0,357.5,332.0,24.0,25.0
scna-int8,32,8,2,20,2315.5,2315.5,2342.3,2607.5,2607.5,2673.05,0.0,0.0052965,0.0161996,1561.5,1203.0,14.0,365.0,312.0,24.0,22.0
scna-int8,4,16,2,20,946.0,946.0,966.1,1210.5,1210.5,1258.5,1.0,0.0126392,0.0128937,271.0,220.5,2.0,355.5,306.0,4.0,4.0
scna-int8,4,32,2,20,1095.5,1095.5,1105.1,1368.5,1368.5,1463.3,2.0,0.0185084,0.0187988,411.0,366.5,2.0,350.0,317.0,4.0,6.0
scna-int8,4,8,2,20,895.0,895.0,910.15,1190.5,1190.5,1242.1,0.0,0.0052965,0.0161996,213.0,160.0,2.0,354.5,311.5,4.0,2.0
scna-int8,8,16,2,20,1136.0,1136.0,1175.15,1438.0,1438.0,1489.6,1.0,0.0126392,0.0128937,509.0,426.0,4.0,301.0,294.0,8.0,6.0
scna-int8,8,32,2,20,1524.0,1524.0,1543.45,1873.5,1873.5,1893.5,2.0,0.0185084,0.0187988,807.0,717.0,4.0,364.0,326.5,8.0,8.0
scna-int8,8,8,2,20,1091.5,1091.5,1134.25,1412.5,1412.5,1481.25,0.0,0.0052965,0.0161996,401.0,310.0,4.0,346.0,326.5,8.0,7.0
